route_id,route_name,special_account,account_section,amount_yen,amount_oku,legal_basis,legal_article,one_time_or_recurring,fiscal_year,primary_source_url
1,外為特会,外国為替資金特別会計,（勘定区分なし、特会全体）,1200433043000,12004,我が国の防衛力の抜本的な強化等のために必要な財源の確保に関する特別措置法（防衛財源確保法、令和5年法律第69号）,第3条,one_time_R5_only,2023,https://www.mof.go.jp/about_mof/bills/211diet/2023y.html
2,財投投資,財政投融資特別会計,投資勘定,436700000000,4367,令和5年度当初予算（防衛力整備計画の財源として歳出計上）,（当初予算）,one_time_R5_only_for_defense,2023,https://www.sangiin.go.jp/japanese/annai/chousa/keizai_prism/backnumber/r05pdf/202323001.pdf
3,財投融資,財政投融資特別会計,財政融資資金勘定,200000000000,2000,我が国の防衛力の抜本的な強化等のために必要な財源の確保に関する特別措置法（防衛財源確保法、令和5年法律第69号）,第2条（特別会計に関する法律第58条第3項の規定にかかわらず）,one_time_R5_only,2023,https://www.mof.go.jp/about_mof/bills/211diet/2023y.html
TOTAL,合計,—,—,1837133043000,18371,—,—,—,2023,—
