purchaser,procurement_route,contract_basis,total_amount_usd,total_amount_yen,units,per_unit_yen_low,per_unit_yen_high,per_unit_usd,price_disclosed,multiplier_vs_us_navy_low,multiplier_vs_us_navy_high,note,primary_source_url
US Navy,自国調達（DoD直接調達）,FY2023 US Navy Budget,2011375,273550000,1,273550000,273550000,2011375,disclosed,1.00,1.00,本体$182.2万+キャニスター$18.9万、為替¥136/$で換算。FY2024 WPN Bookに記載のFY2023実績は70発/$139,983千で約$200万/発と整合,https://media.defense.gov/2023/Mar/29/2003188815/-1/-1/0/WPN_BOOK.PDF
Japan,FMS（対外有償軍事援助）,DSCA議会通知 2023/11,2350000000,319600000000,400,528000000,635000000,3877500-5875000,not_disclosed,1.93,2.32,DSCA承認時$23.5億÷400発で約¥5.28億／最終契約¥2,540億÷400発で¥6.35億。本体単価は政府非公開（岸田首相が国会で明らかにしなかった）,https://www.tokyo-np.co.jp/article/303682
Japan,FMS（最終契約 2024/1/18）,日本国防衛省と米国政府,—,254000000000,400,635000000,635000000,—,not_disclosed,2.32,2.32,東京新聞報道。関連装備込み単純除算値,https://www.tokyo-np.co.jp/article/303682
Australia,FMS（対外有償軍事援助）,米国務省承認 2023/3,895000000,121720000000,220,553300000,553300000,4068182,partially_disclosed,2.02,2.02,BlockV 200発+BlockIV 20発、@¥136/$で換算,https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%9E%E3%83%9B%E3%83%BC%E3%82%AF_(%E3%83%9F%E3%82%B5%E3%82%A4%E3%83%AB)
